RECN,ID,TIME,CMT,EVID,AMT,DV,LNDV,FLAG,DGRP,ROUTE,BW,ADA,SPEC,CMPD
39,4,4,2,0,0,199.27,5.2947,0,30,1,3,0,2,1
40,4,24,2,0,0,134.44,4.9012,0,30,1,3,0,2,1
41,4,48,2,0,0,63.1,4.1447,0,30,1,3,0,2,1
42,4,144,2,0,0,11.206,2.4165,0,30,1,3,0,2,1
43,4,240,2,0,0,0,0,1,30,1,3,0,2,1
44,4,336,2,0,0,0,0,1,30,1,3,0,2,1
45,5,0,1,1,3,0,0,0,3,1,0.3,1,3,1
46,5,0.083,2,0,0,287.79,5.6622,0,3,1,0.3,1,3,1
47,5,0.5,2,0,0,142.54,4.9596,0,3,1,0.3,1,3,1
48,5,1,2,0,0,161.48,5.0844,0,3,1,0.3,1,3,1
49,5,2,2,0,0,104.73,4.6514,0,3,1,0.3,1,3,1
50,5,4,2,0,0,252.68,5.5321,0,3,1,0.3,1,3,1
51,5,24,2,0,0,121.89,4.8031,0,3,1,0.3,1,3,1
52,5,48,2,0,0,59.461,4.0853,0,3,1,0.3,1,3,1
53,5,144,2,0,0,0.42072,-0.8658,0,3,1,0.3,1,3,1
54,5,240,2,0,0,0,0,1,3,1,0.3,1,3,1
55,5,336,2,0,0,0,0,1,3,1,0.3,1,3,1
56,6,0,1,1,0.2,0,0,0,0.2,1,0.02,1,4,1
57,6,0.083,2,0,0,122.68,4.8095,0,0.2,1,0.02,1,4,1
58,6,0.5,2,0,0,172.95,5.153,0,0.2,1,0.02,1,4,1
59,6,1,2,0,0,193.99,5.2678,0,0.2,1,0.02,1,4,1
60,6,2,2,0,0,172.9,5.1527,0,0.2,1,0.02,1,4,1
61,6,4,2,0,0,157.8,5.0613,0,0.2,1,0.02,1,4,1
62,6,24,2,0,0,129.69,4.8651,0,0.2,1,0.02,1,4,1
63,6,48,2,0,0,48.146,3.8742,0,0.2,1,0.02,1,4,1
64,6,144,2,0,0,0.057906,-2.8489,0,0.2,1,0.02,1,4,1
65,6,240,2,0,0,0,0,1,0.2,1,0.02,1,4,1
66,6,336,2,0,0,0,0,1,0.2,1,0.02,1,4,1
67,7,0,1,1,90,0,0,0,90,1,3,0,2,1
68,7,0.083,2,0,0,435.21,6.0758,0,90,1,3,0,2,1
69,7,0.5,2,0,0,787.77,6.6692,0,90,1,3,0,2,1
70,7,1,2,0,0,676.74,6.5173,0,90,1,3,0,2,1
71,7,2,2,0,0,373.94,5.9241,0,90,1,3,0,2,1
72,7,4,2,0,0,691.61,6.539,0,90,1,3,0,2,1
73,7,24,2,0,0,302.94,5.7135,0,90,1,3,0,2,1
74,7,48,2,0,0,248.63,5.516,0,90,1,3,0,2,1
75,7,144,2,0,0,96.198,4.5664,0,90,1,3,0,2,1
76,7,240,2,0,0,32.546,3.4827,0,90,1,3,0,2,1
77,7,336,2,0,0,12.142,2.4967,0,90,1,3,0,2,1
78,8,0,1,1,9,0,0,0,9,1,0.3,1,3,1
79,8,0.083,2,0,0,892.67,6.7942,0,9,1,0.3,1,3,1
80,8,0.5,2,0,0,643,6.4661,0,9,1,0.3,1,3,1
81,8,1,2,0,0,973.04,6.8804,0,9,1,0.3,1,3,1
82,8,2,2,0,0,467.9,6.1483,0,9,1,0.3,1,3,1
83,8,4,2,0,0,523.37,6.2603,0,9,1,0.3,1,3,1
84,8,24,2,0,0,326.97,5.7899,0,9,1,0.3,1,3,1
85,8,48,2,0,0,214.34,5.3676,0,9,1,0.3,1,3,1
86,8,144,2,0,0,0.6933,-0.36629,0,9,1,0.3,1,3,1
87,8,240,2,0,0,0,0,1,9,1,0.3,1,3,1
88,8,336,2,0,0,0,0,1,9,1,0.3,1,3,1
89,9,0,1,1,0.6,0,0,0,0.6,1,0.02,0,4,1
90,9,0.083,2,0,0,401.64,5.9956,0,0.6,1,0.02,0,4,1
91,9,0.5,2,0,0,399.04,5.9891,0,0.6,1,0.02,0,4,1
92,9,1,2,0,0,333.51,5.8097,0,0.6,1,0.02,0,4,1
93,9,2,2,0,0,346.72,5.8485,0,0.6,1,0.02,0,4,1
94,9,4,2,0,0,293.96,5.6835,0,0.6,1,0.02,0,4,1
95,9,24,2,0,0,78.242,4.3598,0,0.6,1,0.02,0,4,1
96,9,48,2,0,0,99.415,4.5993,0,0.6,1,0.02,0,4,1
97,9,144,2,0,0,49.811,3.9082,0,0.6,1,0.02,0,4,1
98,9,240,2,0,0,18.853,2.9367,0,0.6,1,0.02,0,4,1
99,9,336,2,0,0,6.7606,1.9111,0,0.6,1,0.02,0,4,1
100,10,0,2,1,9,0,0,0,9,2,3,0,2,1
101,10,0.083,2,0,0,0.55138,-0.59534,0,9,2,3,0,2,1
102,10,0.5,2,0,0,4.9326,1.5959,0,9,2,3,0,2,1
103,10,1,2,0,0,8.0487,2.0855,0,9,2,3,0,2,1
104,10,2,2,0,0,17.071,2.8374,0,9,2,3,0,2,1
105,10,4,2,0,0,28.753,3.3587,0,9,2,3,0,2,1
106,10,24,2,0,0,24.272,3.1893,0,9,2,3,0,2,1
107,10,48,2,0,0,0,0,1,9,2,3,0,2,1
108,10,144,2,0,0,0,0,1,9,2,3,0,2,1
109,10,240,2,0,0,0,0,1,9,2,3,0,2,1
110,10,336,2,0,0,0,0,1,9,2,3,0,2,1
111,11,0,2,1,0.9,0,0,0,0.9,2,0.3,0,3,1
112,11,0.083,2,0,0,0.66401,-0.40946,0,0.9,2,0.3,0,3,1
113,11,0.5,2,0,0,4.1128,1.4141,0,0.9,2,0.3,0,3,1
114,11,1,2,0,0,6.6497,1.8946,0,0.9,2,0.3,0,3,1
115,11,2,2,0,0,10.108,2.3133,0,0.9,2,0.3,0,3,1
116,11,4,2,0,0,15.253,2.7248,0,0.9,2,0.3,0,3,1
117,11,24,2,0,0,20.537,3.0222,0,0.9,2,0.3,0,3,1
118,11,48,2,0,0,15.011,2.7088,0,0.9,2,0.3,0,3,1
119,11,144,2,0,0,7.9007,2.067,0,0.9,2,0.3,0,3,1
120,11,240,2,0,0,1.6367,0.49271,0,0.9,2,0.3,0,3,1
121,11,336,2,0,0,1.434,0.36047,0,0.9,2,0.3,0,3,1
122,12,0,2,1,0.06,0,0,0,0.06,2,0.02,0,4,1
123,12,0.083,2,0,0,0.45735,-0.78231,0,0.06,2,0.02,0,4,1
124,12,0.5,2,0,0,1.4189,0.34989,0,0.06,2,0.02,0,4,1
125,12,1,2,0,0,3.4351,1.234,0,0.06,2,0.02,0,4,1
126,12,2,2,0,0,9.7194,2.2741,0,0.06,2,0.02,0,4,1
127,12,4,2,0,0,15.466,2.7386,0,0.06,2,0.02,0,4,1
128,12,24,2,0,0,21.787,3.0813,0,0.06,2,0.02,0,4,1
129,12,48,2,0,0,17.577,2.8666,0,0.06,2,0.02,0,4,1
130,12,144,2,0,0,4.9622,1.6019,0,0.06,2,0.02,0,4,1
131,12,240,2,0,0,1.1798,0.16537,0,0.06,2,0.02,0,4,1
132,12,336,2,0,0,0.33081,-1.1062,0,0.06,2,0.02,0,4,1
133,13,0,2,1,30,0,0,0,30,2,3,0,2,1
134,13,0.083,2,0,0,2.0472,0.71648,0,30,2,3,0,2,1
135,13,0.5,2,0,0,12.158,2.498,0,30,2,3,0,2,1
136,13,1,2,0,0,2.4008,0.87581,0,30,2,3,0,2,1
137,13,2,2,0,0,37.761,3.6313,0,30,2,3,0,2,1
138,13,4,2,0,0,21.842,3.0838,0,30,2,3,0,2,1
139,13,24,2,0,0,109.94,4.7,0,30,2,3,0,2,1
140,13,48,2,0,0,97.881,4.5838,0,30,2,3,0,2,1
141,13,144,2,0,0,9.591,2.2608,0,30,2,3,0,2,1
142,13,240,2,0,0,0,0,1,30,2,3,0,2,1
143,13,336,2,0,0,0,0,1,30,2,3,0,2,1
144,14,0,2,1,3,0,0,0,3,2,0.3,0,3,1
145,14,0.083,2,0,0,0.79599,-0.22817,0,3,2,0.3,0,3,1
146,14,0.5,2,0,0,13.285,2.5867,0,3,2,0.3,0,3,1
147,14,1,2,0,0,33.032,3.4975,0,3,2,0.3,0,3,1
148,14,2,2,0,0,48.901,3.8898,0,3,2,0.3,0,3,1
149,14,4,2,0,0,67.034,4.2052,0,3,2,0.3,0,3,1
150,14,24,2,0,0,153.25,5.0321,0,3,2,0.3,0,3,1
151,14,48,2,0,0,104.63,4.6504,0,3,2,0.3,0,3,1
152,14,144,2,0,0,59.918,4.093,0,3,2,0.3,0,3,1
153,14,240,2,0,0,54.161,3.992,0,3,2,0.3,0,3,1
154,14,336,2,0,0,21.362,3.0616,0,3,2,0.3,0,3,1
155,15,0,2,1,0.2,0,0,0,0.2,2,0.02,1,4,1
156,15,0.083,2,0,0,1.0915,0.087585,0,0.2,2,0.02,1,4,1
157,15,0.5,2,0,0,4.1749,1.4291,0,0.2,2,0.02,1,4,1
158,15,1,2,0,0,14.903,2.7016,0,0.2,2,0.02,1,4,1
159,15,2,2,0,0,26.705,3.2849,0,0.2,2,0.02,1,4,1
160,15,4,2,0,0,22.069,3.0942,0,0.2,2,0.02,1,4,1
161,15,24,2,0,0,42.202,3.7425,0,0.2,2,0.02,1,4,1
162,15,48,2,0,0,50.572,3.9234,0,0.2,2,0.02,1,4,1
163,15,144,2,0,0,0,0,1,0.2,2,0.02,1,4,1
164,15,240,2,0,0,0,0,1,0.2,2,0.02,1,4,1
165,15,336,2,0,0,0,0,1,0.2,2,0.02,1,4,1
166,16,0,2,1,90,0,0,0,90,2,3,0,2,1
167,16,0.083,2,0,0,6.7574,1.9106,0,90,2,3,0,2,1
168,16,0.5,2,0,0,48.472,3.881,0,90,2,3,0,2,1
169,16,1,2,0,0,79.731,4.3787,0,90,2,3,0,2,1
170,16,2,2,0,0,232.03,5.4469,0,90,2,3,0,2,1
171,16,4,2,0,0,114.51,4.7407,0,90,2,3,0,2,1
172,16,24,2,0,0,692.07,6.5397,0,90,2,3,0,2,1
173,16,48,2,0,0,335.37,5.8152,0,90,2,3,0,2,1
174,16,144,2,0,0,76.569,4.3382,0,90,2,3,0,2,1
175,16,240,2,0,0,30.436,3.4156,0,90,2,3,0,2,1
176,16,336,2,0,0,0.3213,-1.1354,0,90,2,3,0,2,1
177,17,0,2,1,9,0,0,0,9,2,0.3,1,3,1
178,17,0.083,2,0,0,6.0176,1.7947,0,9,2,0.3,1,3,1
179,17,0.5,2,0,0,44.014,3.7845,0,9,2,0.3,1,3,1
180,17,1,2,0,0,33.598,3.5145,0,9,2,0.3,1,3,1
181,17,2,2,0,0,159.29,5.0707,0,9,2,0.3,1,3,1
182,17,4,2,0,0,239.72,5.4795,0,9,2,0.3,1,3,1
183,17,24,2,0,0,187.18,5.2321,0,9,2,0.3,1,3,1
184,17,48,2,0,0,264.26,5.5769,0,9,2,0.3,1,3,1
185,17,144,2,0,0,1.1114,0.10562,0,9,2,0.3,1,3,1
186,17,240,2,0,0,0,0,1,9,2,0.3,1,3,1
187,17,336,2,0,0,0,0,1,9,2,0.3,1,3,1
188,18,0,2,1,0.6,0,0,0,0.6,2,0.02,1,4,1
189,18,0.083,2,0,0,5.3314,1.6736,0,0.6,2,0.02,1,4,1
190,18,0.5,2,0,0,32.19,3.4717,0,0.6,2,0.02,1,4,1
191,18,1,2,0,0,35.993,3.5833,0,0.6,2,0.02,1,4,1
192,18,2,2,0,0,105.95,4.663,0,0.6,2,0.02,1,4,1
193,18,4,2,0,0,155.14,5.0443,0,0.6,2,0.02,1,4,1
194,18,24,2,0,0,230.16,5.4388,0,0.6,2,0.02,1,4,1
195,18,48,2,0,0,53.28,3.9756,0,0.6,2,0.02,1,4,1
196,18,144,2,0,0,0.064716,-2.7377,0,0.6,2,0.02,1,4,1
197,18,240,2,0,0,0,0,1,0.6,2,0.02,1,4,1
198,18,336,2,0,0,0,0,1,0.6,2,0.02,1,4,1
199,37,0,1,1,9,0,0,0,9,1,3,0,2,2
200,37,0.083,2,0,0,125.06,4.8288,0,9,1,3,0,2,2
201,37,0.5,2,0,0,31.528,3.4509,0,9,1,3,0,2,2
202,37,1,2,0,0,56.594,4.0359,0,9,1,3,0,2,2
203,37,2,2,0,0,21.007,3.0449,0,9,1,3,0,2,2
204,37,4,2,0,0,11.93,2.479,0,9,1,3,0,2,2
205,37,24,2,0,0,4.6107,1.5284,0,9,1,3,0,2,2
206,37,48,2,0,0,0.85563,-0.15592,0,9,1,3,0,2,2
207,37,144,2,0,0,0,0,1,9,1,3,0,2,2
208,37,240,2,0,0,0,0,1,9,1,3,0,2,2
209,37,336,2,0,0,0,0,1,9,1,3,0,2,2
210,38,0,1,1,0.9,0,0,0,0.9,1,0.3,0,3,2
211,38,0.083,2,0,0,99.489,4.6,0,0.9,1,0.3,0,3,2
212,38,0.5,2,0,0,32.57,3.4834,0,0.9,1,0.3,0,3,2
213,38,1,2,0,0,13.837,2.6274,0,0.9,1,0.3,0,3,2
214,38,2,2,0,0,4.9961,1.6087,0,0.9,1,0.3,0,3,2
215,38,4,2,0,0,5.2021,1.6491,0,0.9,1,0.3,0,3,2
216,38,24,2,0,0,0.73736,-0.30468,0,0.9,1,0.3,0,3,2
217,38,48,2,0,0,0,0,1,0.9,1,0.3,0,3,2
218,38,144,2,0,0,0,0,1,0.9,1,0.3,0,3,2
219,38,240,2,0,0,0,0,1,0.9,1,0.3,0,3,2
220,38,336,2,0,0,0,0,1,0.9,1,0.3,0,3,2
221,39,0,1,1,0.06,0,0,0,0.06,1,0.02,0,4,2
222,39,0.083,2,0,0,94.922,4.5531,0,0.06,1,0.02,0,4,2
223,39,0.5,2,0,0,13.835,2.6272,0,0.06,1,0.02,0,4,2
224,39,1,2,0,0,7.0178,1.9484,0,0.06,1,0.02,0,4,2
225,39,2,2,0,0,3.6602,1.2975,0,0.06,1,0.02,0,4,2
226,39,4,2,0,0,3.2962,1.1928,0,0.06,1,0.02,0,4,2
227,39,24,2,0,0,0,0,1,0.06,1,0.02,0,4,2
228,39,48,2,0,0,0,0,1,0.06,1,0.02,0,4,2
229,39,144,2,0,0,0,0,1,0.06,1,0.02,0,4,2
230,39,240,2,0,0,0,0,1,0.06,1,0.02,0,4,2
231,39,336,2,0,0,0,0,1,0.06,1,0.02,0,4,2
232,40,0,1,1,30,0,0,0,30,1,3,0,2,2
233,40,0.083,2,0,0,251.71,5.5283,0,30,1,3,0,2,2
234,40,0.5,2,0,0,204.5,5.3206,0,30,1,3,0,2,2
235,40,1,2,0,0,96.9,4.5737,0,30,1,3,0,2,2
236,40,2,2,0,0,57.188,4.0463,0,30,1,3,0,2,2
237,40,4,2,0,0,17.787,2.8785,0,30,1,3,0,2,2
238,40,24,2,0,0,4.7863,1.5658,0,30,1,3,0,2,2
239,40,48,2,0,0,1.8219,0.59987,0,30,1,3,0,2,2
240,40,144,2,0,0,0,0,1,30,1,3,0,2,2
241,40,240,2,0,0,0,0,1,30,1,3,0,2,2
242,40,336,2,0,0,0,0,1,30,1,3,0,2,2
243,41,0,1,1,3,0,0,0,3,1,0.3,0,3,2
244,41,0.083,2,0,0,324.2,5.7814,0,3,1,0.3,0,3,2
245,41,0.5,2,0,0,149.31,5.006,0,3,1,0.3,0,3,2
246,41,1,2,0,0,41.949,3.7365,0,3,1,0.3,0,3,2
247,41,2,2,0,0,34.907,3.5527,0,3,1,0.3,0,3,2
248,41,4,2,0,0,24.841,3.2125,0,3,1,0.3,0,3,2
249,41,24,2,0,0,2.5724,0.94486,0,3,1,0.3,0,3,2
250,41,48,2,0,0,0.42638,-0.85242,0,3,1,0.3,0,3,2
251,41,144,2,0,0,0,0,1,3,1,0.3,0,3,2
252,41,240,2,0,0,0,0,1,3,1,0.3,0,3,2
253,41,336,2,0,0,0,0,1,3,1,0.3,0,3,2
254,42,0,1,1,0.2,0,0,0,0.2,1,0.02,0,4,2
255,42,0.083,2,0,0,318.03,5.7621,0,0.2,1,0.02,0,4,2
256,42,0.5,2,0,0,81.945,4.4061,0,0.2,1,0.02,0,4,2
257,42,1,2,0,0,18.235,2.9033,0,0.2,1,0.02,0,4,2
258,42,2,2,0,0,21.665,3.0757,0,0.2,1,0.02,0,4,2
259,42,4,2,0,0,18.153,2.8988,0,0.2,1,0.02,0,4,2
260,42,24,2,0,0,0.29097,-1.2345,0,0.2,1,0.02,0,4,2
261,42,48,2,0,0,0,0,1,0.2,1,0.02,0,4,2
262,42,144,2,0,0,0,0,1,0.2,1,0.02,0,4,2
263,42,240,2,0,0,0,0,1,0.2,1,0.02,0,4,2
264,42,336,2,0,0,0,0,1,0.2,1,0.02,0,4,2
265,43,0,1,1,90,0,0,0,90,1,3,0,2,2
266,43,0.083,2,0,0,986.33,6.894,0,90,1,3,0,2,2
267,43,0.5,2,0,0,603.97,6.4035,0,90,1,3,0,2,2
268,43,1,2,0,0,380.83,5.9424,0,90,1,3,0,2,2
269,43,2,2,0,0,66.521,4.1975,0,90,1,3,0,2,2
270,43,4,2,0,0,62.961,4.1425,0,90,1,3,0,2,2
271,43,24,2,0,0,25.905,3.2544,0,90,1,3,0,2,2
272,43,48,2,0,0,5.658,1.7331,0,90,1,3,0,2,2
273,43,144,2,0,0,0,0,1,90,1,3,0,2,2
274,43,240,2,0,0,0,0,1,90,1,3,0,2,2
275,43,336,2,0,0,0,0,1,90,1,3,0,2,2
276,44,0,1,1,9,0,0,0,9,1,0.3,0,3,2
277,44,0.083,2,0,0,665.91,6.5012,0,9,1,0.3,0,3,2
278,44,0.5,2,0,0,342.56,5.8364,0,9,1,0.3,0,3,2
279,44,1,2,0,0,155.41,5.046,0,9,1,0.3,0,3,2
280,44,2,2,0,0,69.063,4.235,0,9,1,0.3,0,3,2
281,44,4,2,0,0,48.128,3.8739,0,9,1,0.3,0,3,2
282,44,24,2,0,0,4.6458,1.536,0,9,1,0.3,0,3,2
283,44,48,2,0,0,0.7787,-0.25013,0,9,1,0.3,0,3,2
284,44,144,2,0,0,0,0,1,9,1,0.3,0,3,2
285,44,240,2,0,0,0,0,1,9,1,0.3,0,3,2
286,44,336,2,0,0,0,0,1,9,1,0.3,0,3,2
287,45,0,1,1,0.6,0,0,0,0.6,1,0.02,0,4,2
288,45,0.083,2,0,0,529,6.271,0,0.6,1,0.02,0,4,2
289,45,0.5,2,0,0,278.66,5.63,0,0.6,1,0.02,0,4,2
290,45,1,2,0,0,157.25,5.0579,0,0.6,1,0.02,0,4,2
291,45,2,2,0,0,109.71,4.6978,0,0.6,1,0.02,0,4,2
292,45,4,2,0,0,68.763,4.2307,0,0.6,1,0.02,0,4,2
293,45,24,2,0,0,2.1981,0.78759,0,0.6,1,0.02,0,4,2
294,45,48,2,0,0,0,0,1,0.6,1,0.02,0,4,2
295,45,144,2,0,0,0,0,1,0.6,1,0.02,0,4,2
296,45,240,2,0,0,0,0,1,0.6,1,0.02,0,4,2
297,45,336,2,0,0,0,0,1,0.6,1,0.02,0,4,2
298,46,0,2,1,9,0,0,0,9,2,3,0,2,2
299,46,0.083,2,0,0,0.056224,-2.8784,0,9,2,3,0,2,2
300,46,0.5,2,0,0,0.6476,-0.43448,0,9,2,3,0,2,2
301,46,1,2,0,0,0.76755,-0.26455,0,9,2,3,0,2,2
302,46,2,2,0,0,1.2071,0.18823,0,9,2,3,0,2,2
303,46,4,2,0,0,1.6572,0.50511,0,9,2,3,0,2,2
304,46,24,2,0,0,1.7831,0.57835,0,9,2,3,0,2,2
305,46,48,2,0,0,1.7856,0.57978,0,9,2,3,0,2,2
306,46,144,2,0,0,0.10816,-2.2242,0,9,2,3,0,2,2
307,46,240,2,0,0,0,0,1,9,2,3,0,2,2
308,46,336,2,0,0,0,0,1,9,2,3,0,2,2
309,47,0,2,1,0.9,0,0,0,0.9,2,0.3,0,3,2
310,47,0.083,2,0,0,0.16621,-1.7945,0,0.9,2,0.3,0,3,2
311,47,0.5,2,0,0,0.92004,-0.083333,0,0.9,2,0.3,0,3,2
312,47,1,2,0,0,1.5533,0.44039,0,0.9,2,0.3,0,3,2
313,47,2,2,0,0,1.7653,0.56833,0,0.9,2,0.3,0,3,2
314,47,4,2,0,0,1.794,0.58442,0,0.9,2,0.3,0,3,2
315,47,24,2,0,0,1.1968,0.17963,0,0.9,2,0.3,0,3,2
316,47,48,2,0,0,0.49229,-0.70869,0,0.9,2,0.3,0,3,2
317,47,144,2,0,0,0,0,1,0.9,2,0.3,0,3,2
318,47,240,2,0,0,0,0,1,0.9,2,0.3,0,3,2
319,47,336,2,0,0,0,0,1,0.9,2,0.3,0,3,2
320,48,0,2,1,0.06,0,0,0,0.06,2,0.02,0,4,2
321,48,0.083,2,0,0,0.23922,-1.4304,0,0.06,2,0.02,0,4,2
322,48,0.5,2,0,0,0.61909,-0.47951,0,0.06,2,0.02,0,4,2
323,48,1,2,0,0,0.3645,-1.0092,0,0.06,2,0.02,0,4,2
324,48,2,2,0,0,0.71319,-0.33801,0,0.06,2,0.02,0,4,2
325,48,4,2,0,0,1.0256,0.025259,0,0.06,2,0.02,0,4,2
326,48,24,2,0,0,0.30042,-1.2026,0,0.06,2,0.02,0,4,2
327,48,48,2,0,0,0.17439,-1.7465,0,0.06,2,0.02,0,4,2
328,48,144,2,0,0,0,0,1,0.06,2,0.02,0,4,2
329,48,240,2,0,0,0,0,1,0.06,2,0.02,0,4,2
330,48,336,2,0,0,0,0,1,0.06,2,0.02,0,4,2
331,49,0,2,1,30,0,0,0,30,2,3,0,2,2
332,49,0.083,2,0,0,0.50273,-0.6877,0,30,2,3,0,2,2
333,49,0.5,2,0,0,2.9304,1.0751,0,30,2,3,0,2,2
334,49,1,2,0,0,8.1418,2.097,0,30,2,3,0,2,2
335,49,2,2,0,0,11.406,2.4342,0,30,2,3,0,2,2
336,49,4,2,0,0,2.9051,1.0665,0,30,2,3,0,2,2
337,49,24,2,0,0,9.2719,2.227,0,30,2,3,0,2,2
338,49,48,2,0,0,2.6865,0.98823,0,30,2,3,0,2,2
339,49,144,2,0,0,0,0,1,30,2,3,0,2,2
340,49,240,2,0,0,0,0,1,30,2,3,0,2,2
341,49,336,2,0,0,0,0,1,30,2,3,0,2,2
342,50,0,2,1,3,0,0,0,3,2,0.3,0,3,2
343,50,0.083,2,0,0,0.35512,-1.0353,0,3,2,0.3,0,3,2
344,50,0.5,2,0,0,0.99163,-0.0084081,0,3,2,0.3,0,3,2
345,50,1,2,0,0,1.6508,0.50126,0,3,2,0.3,0,3,2
346,50,2,2,0,0,1.5363,0.4294,0,3,2,0.3,0,3,2
347,50,4,2,0,0,3.476,1.2459,0,3,2,0.3,0,3,2
348,50,24,2,0,0,3.7966,1.3341,0,3,2,0.3,0,3,2
349,50,48,2,0,0,1.8079,0.59215,0,3,2,0.3,0,3,2
350,50,144,2,0,0,0.11235,-2.1861,0,3,2,0.3,0,3,2
351,50,240,2,0,0,0,0,1,3,2,0.3,0,3,2
352,50,336,2,0,0,0,0,1,3,2,0.3,0,3,2
353,51,0,2,1,0.2,0,0,0,0.2,2,0.02,0,4,2
354,51,0.083,2,0,0,0.60273,-0.50628,0,0.2,2,0.02,0,4,2
355,51,0.5,2,0,0,0.88319,-0.12422,0,0.2,2,0.02,0,4,2
356,51,1,2,0,0,1.8578,0.61942,0,0.2,2,0.02,0,4,2
357,51,2,2,0,0,2.8706,1.0545,0,0.2,2,0.02,0,4,2
358,51,4,2,0,0,3.3129,1.1978,0,0.2,2,0.02,0,4,2
359,51,24,2,0,0,1.1113,0.10557,0,0.2,2,0.02,0,4,2
360,51,48,2,0,0,1.0334,0.032849,0,0.2,2,0.02,0,4,2
361,51,144,2,0,0,0,0,1,0.2,2,0.02,0,4,2
362,51,240,2,0,0,0,0,1,0.2,2,0.02,0,4,2
363,51,336,2,0,0,0,0,1,0.2,2,0.02,0,4,2
364,52,0,2,1,90,0,0,0,90,2,3,0,2,2
365,52,0.083,2,0,0,0.99116,-0.0088829,0,90,2,3,0,2,2
366,52,0.5,2,0,0,5.5575,1.7152,0,90,2,3,0,2,2
367,52,1,2,0,0,8.3997,2.1282,0,90,2,3,0,2,2
368,52,2,2,0,0,12.84,2.5525,0,90,2,3,0,2,2
369,52,4,2,0,0,24.752,3.2089,0,90,2,3,0,2,2
370,52,24,2,0,0,32.631,3.4853,0,90,2,3,0,2,2
371,52,48,2,0,0,11.111,2.4079,0,90,2,3,0,2,2
372,52,144,2,0,0,1.2877,0.25286,0,90,2,3,0,2,2
373,52,240,2,0,0,0,0,1,90,2,3,0,2,2
374,52,336,2,0,0,0,0,1,90,2,3,0,2,2
375,53,0,2,1,9,0,0,0,9,2,0.3,0,3,2
376,53,0.083,2,0,0,1.5094,0.41168,0,9,2,0.3,0,3,2
377,53,0.5,2,0,0,6.8629,1.9261,0,9,2,0.3,0,3,2
378,53,1,2,0,0,9.9999,2.3026,0,9,2,0.3,0,3,2
379,53,2,2,0,0,14.164,2.6507,0,9,2,0.3,0,3,2
380,53,4,2,0,0,14.56,2.6783,0,9,2,0.3,0,3,2
381,53,24,2,0,0,10.408,2.3426,0,9,2,0.3,0,3,2
